,X,ID,mean_bf,Gensex,body.l,pronotum.w,head.w,head.l,head.h,P,genus,sex,bought,measured,body.length,pro.width,head.width,head.length,head.height,bf.cor.l,bf.cor.p,bf.cor.hw,bf.cor.hl,bf.cor.hh,max_bf,bf.cor.l.m,bf.cor.p.m,bf.cor.hw.m,bf.cor.hl.m,bf.cor.hh.m
51,51,53,1.35058230953872,SM,43.5,6.09,5.73,8.7,5.61,C,Schistocerca,M,16.3.,17.3.,48,7,7,9,6,0.0310478691847982,0.22177049417713,0.235703718942185,0.155239345923991,0.240745509721697,3.520331,0.0809271494252874,0.578051067323481,0.614368411867365,0.404635747126437,0.627509982174688
125,125,127,3.92681471354167,SM,47.65,7.2,6.72,9.13,5.79,C,Schistocerca,M,23.3.,23.3.,50,8,7,10,6,0.082409542781567,0.545390932436343,0.584347427610368,0.430100187682549,0.678206340853484,6.177168,0.129636264428122,0.85794,0.919221428571429,0.676579189485214,1.06686839378238
126,126,128,4.05832179640523,SW,49.32,8.01,6.66,9.82,5.62,S,Schistocerca,W,23.3.,23.3.,52,8,7,10,6,0.0822855189863185,0.506656903421377,0.609357627087872,0.41327105869707,0.72212131608634,7.127791,0.144521309813463,0.889861548064919,1.07023888888889,0.725844297352342,1.26829021352313
234,234,236,4.15743694166667,SM,46.42,7.16,6.42,9.26,5.51,S,Schistocerca,M,25.3.,26.3.,49,7,7,10,6,0.0895613300660635,0.580647617551211,0.647575847611631,0.448967272318215,0.754525760738053,6.358027,0.136967406290392,0.887992597765363,0.990346884735202,0.686611987041037,1.15390689655172
235,235,237,2.89386747121212,SW,45.37,7.01,6.41,9.16,5.45,S,Schistocerca,W,25.3.,26.3.,48,7,7,10,6,0.0637837220897536,0.412819896035966,0.451461383964449,0.315924396420537,0.530984857103141,6.343856,0.139824906325766,0.904972325249643,0.98968112324493,0.692560698689956,1.16401027522936
238,238,240,3.10104631038961,SM,45.31,7,6.23,9.09,5.26,S,Schistocerca,M,25.3.,26.3.,47,7,7,10,5,0.0684406601277778,0.443006615769944,0.49776024243814,0.341149209063764,0.589552530492321,5.966601,0.131683977047009,0.852371571428571,0.957720866773676,0.656391749174917,1.13433479087452
277,277,279,3.14815042704802,SM,50.82,6.97,6.5,10.21,5.51,C,Schistocerca,M,30.3.,31.3.,53,8,7,10,6,0.0619470764865805,0.451671510336875,0.484330834930465,0.308339904705976,0.571352164618515,4.281227,0.0842429555293192,0.614236298421808,0.658650307692308,0.419317042115573,0.77699219600726
280,280,282,3.7898446,SW,54.61,8.13,7.1,10.27,6.35,C,Schistocerca,W,30.3.,31.3.,58,9,8,10,7,0.069398362937191,0.466155547355473,0.533780929577465,0.369020895813048,0.596825921259843,4.502234,0.0824433986449368,0.553780319803198,0.634117464788732,0.438386952288218,0.709013228346457
286,286,288,2.25492034968195,SM,48.5,7.21,6,9.06,5.7,C,Schistocerca,M,30.3.,31.3.,51,8,7,10,6,0.0464932030862258,0.312749008277663,0.375820058280325,0.248887455814785,0.39560006134771,3.305035,0.0681450515463917,0.458395977808599,0.550839166666667,0.364794150110375,0.579830701754386
316,316,318,4.55847125425791,SM,44.13,6.8,5.72,8.65,5.23,C,Schistocerca,M,7.4.,7.4.,48,8,7,9,6,0.103296425430725,0.67036341974381,0.796935533961173,0.526990896446001,0.871600622229046,7.215849,0.163513460231135,1.06115426470588,1.26151206293706,0.834202196531792,1.3797034416826
