"","MaxL","K","n","AICc","dAICc","Model_L","Post_Pob"
"No.modules.default",635.782090604866,2,595,-1267.54391093946,185.552892760236,5.10153988625775e-41,3.87076528100781e-41
"head_mand.same.Mod + same.between",665.452937032876,3,595,-1324.8652649287,128.231538771003,1.42848325185467e-28,1.08385379690449e-28
"head_mand_sens.same.Mod + same.between",688.466531592466,3,595,-1370.89245404788,82.2043496518215,1.41108208746986e-18,1.07065075930181e-18
"head_mand.sep.Mod + same.between",701.715565138376,4,595,-1395.36333366658,57.7334700331162,2.90627209342836e-13,2.20511793835184e-13
"head_mand_sens.sep.Mod + same.between",703.173091393333,5,595,-1396.24431521451,56.8524884851875,4.51480486347852e-13,3.42558331517766e-13
"head_mand_sens.same.Mod + sep.between",691.760158774559,5,595,-1373.41844997696,79.678353722737,4.98959534118537e-18,3.78582797420921e-18
"head_mand_sens.sep.Mod + sep.between",706.466718575426,7,595,-1398.74263646942,54.3541672302774,1.57449958941909e-12,1.19464288853285e-12
"head_mand_sens.same.Mod + same.between",688.466531592466,3,595,-1370.89245404788,82.2043496518215,1.41108208746986e-18,1.07065075930181e-18
"head_mand_sens.sep.Mod + same.between",703.173091393333,5,595,-1396.24431521451,56.8524884851875,4.51480486347852e-13,3.42558331517766e-13
"head_mand_sens.same.Mod + sep.between",691.760158774559,5,595,-1373.41844997696,79.678353722737,4.98959534118537e-18,3.78582797420921e-18
"head_mand_sens.sep.Mod + sep.between",706.466718575426,7,595,-1398.74263646942,54.3541672302774,1.57449958941909e-12,1.19464288853285e-12
"head_mand_asym.same.Mod + same.between",651.807221233009,3,595,-1297.57383332896,155.522970370735,1.69284065096064e-34,1.28443351695987e-34
"head_mand_asym_sens.same.Mod + same.between",676.414711665715,3,595,-1346.78881419438,106.307989505323,8.23215213423006e-24,6.24610007558454e-24
"head_mand_asym.sep.Mod + same.between",717.639737344492,5,595,-1425.17760711683,27.9191965828695,8.65811784054359e-07,6.56929920832873e-07
"head_mand_asym.same.Mod + sep.between",666.665474399912,5,595,-1323.22908122767,129.86772247203,6.30350898957438e-29,4.78275271572235e-29
"head_mand_asym_sens.sep.Mod + same.between",716.867100231359,6,595,-1421.59134331986,31.5054603798371,1.44104055610694e-07,1.09338158231957e-07
"head_mand_asym.sep.Mod + sep.between",732.497990511396,7,595,-1450.80518034136,2.29162335833803,0.31796572686354,0.241254743378403
"head_mand_asym_sens.same.Mod + sep.between",697.322428378545,8,595,-1378.39912296869,74.6976807310043,6.02011411665846e-17,4.56772841730346e-17
"head_mand_asym_sens.sep.Mod + sep.between",737.774816944189,11,595,-1453.0968036997,0,1,0.75874449035176
"head_mand_asym_sens.same.Mod + same.between",676.414711665715,3,595,-1346.78881419438,106.307989505323,8.23215213423006e-24,6.24610007558454e-24
"head_mand_asym_sens.sep.Mod + same.between",716.867100231359,6,595,-1421.59134331986,31.5054603798371,1.44104055610694e-07,1.09338158231957e-07
"head_mand_asym_sens.same.Mod + sep.between",697.322428378545,8,595,-1378.39912296869,74.6976807310043,6.02011411665846e-17,4.56772841730346e-17
"head_mand_asym_sens.sep.Mod + sep.between",737.774816944189,11,595,-1453.0968036997,0,1,0.75874449035176


head_mand_asym.sep.Mod + sep.between 
,Module 1,Module 2,Module 3,1 to 2,1 to 3,2 to 3,unintegrated
"MaxL",173.249819759293,-24.2966420015986,-53.6350492792589,258.109172460809,251.777994783921,127.29269478823,0
"MaxL_p",0.14,0.27,0.41,0.13,0.16,0.23,0

head_mand_asym_sens.sep.Mod + sep.between 
,Module 1,Module 2,Module 4,Module 3,1 to 2,1 to 4,1 to 3,2 to 4,2 to 3,4 to 3,unintegrated
"MaxL",24.5411828733132,-24.2966420015986,57.3672107379013,-53.6350492792589,99.7017805187668,93.6861725524563,99.5765895568193,158.663373324688,127.29269478823,154.877503872871,0
"MaxL_p",0.14,0.27,0.18,0.41,0.14,0.11,0.19,0.13,0.23,0.13,0

