"","MaxL","K","n","AICc","dAICc","Model_L","Post_Pob"
"No.modules.default",5314.48669993648,2,5460,-10624.9712008625,1122.73177214286,1.59181777689167e-244,1.59181777356442e-244
"head_mand.same.Mod + same.between",5446.49144095269,3,5460,-10886.9784830784,860.724489926981,1.24753228291406e-187,1.24753228030645e-187
"head_mand_sens.same.Mod + same.between",5551.32380028158,3,5460,-11096.6432017362,651.059771269194,4.20888417315017e-142,4.20888416435268e-142
"head_mand.sep.Mod + same.between",5626.15685915072,4,5460,-11244.3063855792,503.396587426203,4.88449799800331e-110,4.88449798779364e-110
"head_mand_sens.sep.Mod + same.between",5628.84571508318,5,5460,-11247.6804290662,500.022543939129,2.63927211938013e-109,2.63927211386348e-109
"head_mand_sens.same.Mod + sep.between",5567.7450205875,5,5460,-11125.4790400749,622.223932930479,7.68758109446534e-136,7.68758107839662e-136
"head_mand_sens.sep.Mod + sep.between",5645.2669353891,7,5460,-11276.5133278582,471.1896451472,4.81358440329969e-103,4.81358439323824e-103
"head_mand_sens.same.Mod + same.between",5551.32380028158,3,5460,-11096.6432017362,651.059771269194,4.20888417315017e-142,4.20888416435268e-142
"head_mand_sens.sep.Mod + same.between",5628.84571508318,5,5460,-11247.6804290662,500.022543939129,2.63927211938013e-109,2.63927211386348e-109
"head_mand_sens.same.Mod + sep.between",5567.7450205875,5,5460,-11125.4790400749,622.223932930479,7.68758109446534e-136,7.68758107839662e-136
"head_mand_sens.sep.Mod + sep.between",5645.2669353891,7,5460,-11276.5133278582,471.1896451472,4.81358440329969e-103,4.81358439323824e-103
"head_mand_asym.same.Mod + same.between",5365.69506117039,3,5460,-10725.3857235138,1022.31724949158,1.01538301794145e-222,1.01538301581907e-222
"head_mand_asym_sens.same.Mod + same.between",5463.53970015142,3,5460,-10921.0750014759,826.62797152951,3.16239918148599e-180,3.16239917487588e-180
"head_mand_asym.sep.Mod + same.between",5778.68905626067,5,5460,-11547.3671114212,200.335861584139,3.14499814292884e-44,3.14499813635511e-44
"head_mand_asym.same.Mod + sep.between",5447.88176598402,5,5460,-10885.7525308679,861.950442137437,6.75833402828493e-188,6.75833401415854e-188
"head_mand_asym_sens.sep.Mod + same.between",5771.26221107877,6,5460,-11530.509017793,217.193955212406,6.86960671253076e-48,6.86960669817177e-48
"head_mand_asym.sep.Mod + sep.between",5860.87576107431,7,5460,-11707.7309792286,39.9719937767841,2.09021921608307e-09,2.09021921171405e-09
"head_mand_asym_sens.same.Mod + sep.between",5577.15320465023,8,5460,-11138.2799921293,609.422980876076,4.62893550978201e-133,4.62893550010652e-133
"head_mand_asym_sens.sep.Mod + sep.between",5884.87571557758,11,5460,-11747.7029730054,0,1,0.999999997909781
"head_mand_asym_sens.same.Mod + same.between",5463.53970015142,3,5460,-10921.0750014759,826.62797152951,3.16239918148599e-180,3.16239917487588e-180
"head_mand_asym_sens.sep.Mod + same.between",5771.26221107877,6,5460,-11530.509017793,217.193955212406,6.86960671253076e-48,6.86960669817177e-48
"head_mand_asym_sens.same.Mod + sep.between",5577.15320465023,8,5460,-11138.2799921293,609.422980876076,4.62893550978201e-133,4.62893550010652e-133
"head_mand_asym_sens.sep.Mod + sep.between",5884.87571557758,11,5460,-11747.7029730054,0,1,0.999999997909781


head_mand_asym_sens.sep.Mod + sep.between 
,Module 1,Module 2,Module 4,Module 3,1 to 2,1 to 4,1 to 3,2 to 4,2 to 3,4 to 3,unintegrated
"MaxL",231.487188344635,245.23208301276,417.173539720753,-365.857960229033,763.874893909337,780.768195511639,730.274163856928,1234.02705086524,583.088541175375,1264.80801940994,0
"MaxL_p",0.17,0.22,0.2,0.39,0.18,0.15,0.21,0.17,0.25,0.17,0

